# %ECSV 1.0
# ---
# datatype:
# - name: Target
#   datatype: string
#   description: Target identification; Galaxy-ID number
#   meta: !!omap
#   - {ucd: ID_MAIN}
#   - {_votable_string_dtype: char}
# - name: Field
#   datatype: string
#   description: Field and spectrograph channel (B=blue, R=red)
#   meta: !!omap
#   - {ucd: ID_FIELD}
#   - {_votable_string_dtype: char}
# - name: HJD
#   unit: d
#   datatype: float64
#   format: '{:8.3f}'
#   description: Heliocentric Julian Date minus 2450000 of obs.
#   meta: !!omap
#   - {ucd: TIME_DATE}
#   - {width: 8}
#   - {precision: '3'}
# - name: HV
#   unit: km / s
#   datatype: float32
#   format: '{:6.1f}'
#   description: Heliocentric rest frame velocity
#   meta: !!omap
#   - {ucd: VELOC_HC}
#   - {width: 6}
#   - {precision: '1'}
# - name: e_HV
#   unit: km / s
#   datatype: float32
#   format: '{:4.1f}'
#   description: Uncertainty in HV
#   meta: !!omap
#   - {ucd: ERROR}
#   - {width: 4}
#   - {precision: '1'}
# - name: SigFe
#   unit: 0.1 nm
#   datatype: float32
#   format: '{:5.2f}'
#   description: '? The {Sigma}Fe spectral index ({AA})'
#   meta: !!omap
#   - {ucd: SPECT_INDEX_MISC}
#   - {width: 5}
#   - {precision: '2'}
#   - values: {'null': .nan}
# - name: e_SigFe
#   unit: 0.1 nm
#   datatype: float32
#   format: '{:5.2f}'
#   description: '? Uncertainty in SigFe ({AA})'
#   meta: !!omap
#   - {ucd: SPECT_INDEX_MISC}
#   - {width: 5}
#   - {precision: '2'}
#   - values: {'null': .nan}
# - name: SigMg
#   unit: 0.1 nm
#   datatype: float32
#   format: '{:5.2f}'
#   description: '? The {Sigma}Mg spectral index ({AA})'
#   meta: !!omap
#   - {ucd: SPECT_INDEX_MISC}
#   - {width: 5}
#   - {precision: '2'}
#   - values: {'null': .nan}
# - name: e_SigMg
#   unit: 0.1 nm
#   datatype: float32
#   format: '{:5.2f}'
#   description: '? Uncertainty in SigMg ({AA})'
#   meta: !!omap
#   - {ucd: SPECT_INDEX_MISC}
#   - {width: 5}
#   - {precision: '2'}
#   - values: {'null': .nan}
# - name: Mmb
#   datatype: float32
#   format: '{:6.3f}'
#   description: '? Probability membership'
#   meta: !!omap
#   - {ucd: CODE_MEMB}
#   - {width: 6}
#   - {precision: '3'}
#   - values: {'null': .nan}
# meta: !!omap
# - {ID: J_AJ_137_3100_tables}
# - {name: J/AJ/137/3100/tables}
# - {description: Combined table from original tables}
# schema: astropy-2.0
Target Field HJD HV e_HV SigFe e_SigFe SigMg e_SigMg Mmb
Car-0068 18R 3087.533 19.2 3.2 0.29 0.05 0.91 0.1 0.0
Car-0069 18R 3087.533 23.3 1.8 0.41 0.04 0.85 0.1 0.0
Car-0069 1R 3088.572 28.7 3.0 0.32 0.03 0.93 0.1 ""
Car-0069 13R 3410.547 30.8 1.9 0.36 0.03 0.84 0.09 ""
Car-0069 1R 4122.701 28.2 2.1 "" "" "" "" ""
Car-0070 18R 3087.533 222.4 3.5 0.34 0.04 0.55 0.09 1.0
Car-0070 25R 3411.554 220.0 6.2 0.34 0.06 0.34 0.13 ""
Car-0070 1R 4123.555 221.8 2.1 "" "" "" "" ""
Car-0071 18R 3087.533 214.5 7.9 0.36 0.06 0.39 0.13 1.0
Car-0072 18R 3087.533 220.6 1.6 0.46 0.02 0.54 0.08 0.999
Car-0072 1R 4122.701 221.7 1.4 "" "" "" "" ""
Car-0073 18R 3087.533 -76.7 9.2 -0.11 0.27 0.46 0.17 0.0
Car-0074 18R 3087.533 233.3 7.2 0.29 0.05 0.54 0.1 0.998
Car-0075 18R 3087.533 49.6 8.1 0.47 0.05 0.9 0.1 0.0
Car-0076 18R 3087.533 223.4 3.5 0.42 0.03 0.38 0.09 1.0
Car-0077 18R 3087.533 6.8 2.5 0.31 0.04 0.78 0.1 0.0
Car-0078 18R 3087.533 230.5 2.4 0.43 0.04 0.53 0.1 1.0
Car-0078 25R 3411.554 230.4 3.7 0.36 0.06 0.38 0.12 ""
Car-0078 1R 4120.709 222.5 6.3 "" "" "" "" ""
Car-0078 1R 4557.518 223.5 8.7 0.43 0.09 0.64 0.15 ""
Car-0079 18R 3087.533 60.7 5.3 0.35 0.04 0.79 0.1 0.0
Car-0080 18R 3087.533 106.6 6.4 0.36 0.08 0.69 0.12 0.0
Car-0081 18R 3087.533 82.8 5.5 0.38 0.05 0.86 0.1 0.0
Car-0081 25R 3411.554 81.4 1.6 0.41 0.04 0.83 0.1 ""
Car-0082 18R 3087.533 157.6 4.1 0.29 0.04 0.84 0.1 0.0
Car-0082 25R 3411.554 154.9 5.2 0.31 0.05 0.82 0.1 ""
Car-0083 1B 3088.572 74.4 5.9 0.17 0.09 0.58 0.12 0.0
Car-0083 25B 3411.554 86.2 2.9 0.31 0.07 0.89 0.1 ""
Car-0084 1B 3088.572 218.9 2.5 0.42 0.03 0.69 0.06 0.815
Car-0085 1B 3088.572 225.9 5.0 0.53 0.08 0.52 0.2 0.998
Car-0085 1B 4122.587 238.5 5.4 "" "" "" "" ""
Car-0086 1B 3088.572 214.1 2.0 0.52 0.04 0.48 0.09 1.0
Car-0086 1R 4554.518 220.5 9.8 0.39 0.1 0.49 0.19 ""
Car-0087 1B 3088.572 224.9 2.2 0.57 0.05 0.7 0.12 1.0
Car-0087 12B 3090.551 228.6 1.0 0.41 0.03 0.49 0.07 ""
Car-0087 1R 4120.709 229.9 8.6 "" "" "" "" ""
Car-0087 1R 4557.518 225.8 11.9 0.29 0.15 0.29 0.26 ""
Car-0088 1B 3088.572 210.7 0.7 0.43 0.01 0.59 0.03 0.987
Car-0088 12B 3090.551 211.9 1.2 0.41 0.03 0.46 0.06 ""
Car-0088 1R 4122.701 222.4 5.4 "" "" "" "" ""
Car-0089 1B 3088.572 225.2 3.4 "" "" 0.68 4.26 0.998
Car-0089 1B 4122.701 221.1 1.4 "" "" "" "" ""
Car-0090 1B 3088.572 220.8 1.8 "" "" 1.02 0.57 0.999
Car-0090 1R 4554.518 221.9 6.5 0.32 0.18 0.47 0.28 ""
Car-0091 1B 3088.572 218.8 1.1 0.68 0.02 0.48 0.09 1.0
Car-0092 1B 3088.572 222.1 4.5 "" "" "" "" 1.0
Car-0092 1B 4557.518 218.2 3.7 0.25 0.03 0.15 0.07 ""
Car-0093 1B 3088.572 228.3 2.2 "" "" "" "" 1.0
Car-0093 1B 4557.518 231.3 2.9 0.15 0.03 0.23 0.08 ""
Car-0094 1B 3088.572 224.6 4.8 "" "" "" "" 0.998
Car-0095 1B 3088.572 229.2 4.4 0.28 0.02 0.24 0.06 1.0
Car-0095 1R 4122.587 227.5 7.8 "" "" "" "" ""
Car-0096 1B 3088.572 213.2 4.7 0.33 0.03 0.09 0.08 1.0
Car-0097 1B 3088.572 224.3 5.7 0.31 0.03 0.39 0.06 1.0
Car-0097 1B 4122.701 249.5 3.5 "" "" "" "" ""
Car-0098 1B 3088.572 227.9 0.8 0.38 0.02 0.39 0.04 1.0
Car-0098 12B 3090.551 231.2 1.7 0.32 0.04 0.58 0.06 ""
Car-0099 1B 3088.572 239.2 0.6 0.43 0.01 0.52 0.01 0.994
Car-0099 12R 3090.551 241.3 1.8 0.38 0.02 0.52 0.08 ""
Car-0099 1R 4122.587 241.5 1.8 "" "" "" "" ""
Car-0100 1B 3088.572 224.9 3.6 0.41 0.03 0.18 0.08 1.0
Car-0100 12B 3090.551 229.5 4.0 0.35 0.06 0.42 0.12 ""
Car-0100 1B 4123.555 222.2 4.0 "" "" "" "" ""
Car-0101 1B 3088.572 223.4 3.4 0.35 0.03 0.15 0.07 1.0
Car-0101 1B 4122.701 223.8 1.8 "" "" "" "" ""
Car-0102 1B 3088.572 210.8 1.5 0.37 0.01 0.38 0.03 1.0
Car-0103 1B 3088.572 222.8 1.9 0.33 0.02 0.51 0.04 1.0
Car-0104 1B 3088.572 72.9 4.5 0.34 0.04 0.18 0.11 0.0
